atomic_radius,atomic_mass,Z,X,number,max_oxidation_state,min_oxidation_state,row,group,atomic_radius_calculated,van_der_waals_radius,mendeleev_no,molar_volume,boiling_point,melting_point,critical_temperature,density_of_solid,average_ionic_radius,average_cationic_radius,average_anionic_radius,lattice_lengthx,lattice_lengthy,lattice_lengthz,lattice_anglesA,lattice_anglesB,lattice_anglesC,com_average_electroneg,com_num_atoms,com_total_electrons,com_weight
0.205555556,12.97256778,6.222222222,0.818888889,6.222222222,1.222222222,-0.777777778,1.555555556,17.22222222,0.418888889,1.48,28.11111111,17.81222222,74.03833333,78.72944444,134.35,318.1666667,0.211666667,0.084166667,0.29,4.353487302,5.076298092,6.259835657,91.75203758,95.01740639,92.41026366,2.591111111,18,94,189.7534096
0.205555556,12.97256778,6.222222222,0.818888889,6.222222222,1.222222222,-0.777777778,1.555555556,17.22222222,0.418888889,1.48,28.11111111,17.81222222,74.03833333,78.72944444,134.35,318.1666667,0.211666667,0.084166667,0.29,4.396172912,4.745991505,7.33423098,75.71691675,78.39246392,75.31544708,2.591111111,18,94,189.7534096
0.205555556,12.97256778,6.222222222,0.818888889,6.222222222,1.222222222,-0.777777778,1.555555556,17.22222222,0.418888889,1.48,28.11111111,17.81222222,74.03833333,78.72944444,134.35,318.1666667,0.211666667,0.084166667,0.29,4.681744887,4.91436249,5.988928428,91.10346845,95.0949259,95.98045289,2.591111111,18,94,189.7534096
0.205555556,12.97256778,6.222222222,0.818888889,6.222222222,1.222222222,-0.777777778,1.555555556,17.22222222,0.418888889,1.48,28.11111111,17.81222222,74.03833333,78.72944444,134.35,318.1666667,0.211666667,0.084166667,0.29,3.965681251,5.270413738,7.004894443,86.71232704,78.41814769,74.74623179,2.591111111,18,94,189.7534096
0.205555556,12.97256778,6.222222222,0.818888889,6.222222222,1.222222222,-0.777777778,1.555555556,17.22222222,0.418888889,1.48,28.11111111,17.81222222,74.03833333,78.72944444,134.35,318.1666667,0.211666667,0.084166667,0.29,3.820300727,5.140302412,7.462910549,82.10806343,75.40300666,72.58043604,2.591111111,18,94,189.7534096
0.205555556,12.97256778,6.222222222,0.818888889,6.222222222,1.222222222,-0.777777778,1.555555556,17.22222222,0.418888889,1.48,28.11111111,17.81222222,74.03833333,78.72944444,134.35,318.1666667,0.211666667,0.084166667,0.29,4.314767789,5.487961318,5.893271451,92.47489472,94.39203337,91.01980304,2.591111111,18,94,189.7534096
0.203333333,14.09962107,6.733333333,0.78,6.733333333,1.133333333,-0.733333333,1.6,17.26666667,0.424,1.486,26.93333333,17.672,83.126,90.14533333,152.1146667,381.8,0.212,0.082,0.26,4.646003903,4.79093578,5.489976462,80.9483938,76.32672348,83.09583881,2.646,15,86,175.7268296
0.203333333,14.09962107,6.733333333,0.78,6.733333333,1.133333333,-0.733333333,1.6,17.26666667,0.424,1.486,26.93333333,17.672,83.126,90.14533333,152.1146667,381.8,0.212,0.082,0.26,4.787955831,5.419797933,4.822868307,105.415353,103.2134931,82.10062877,2.646,15,86,175.7268296
0.203333333,14.09962107,6.733333333,0.78,6.733333333,1.133333333,-0.733333333,1.6,17.26666667,0.424,1.486,26.93333333,17.672,83.126,90.14533333,152.1146667,381.8,0.212,0.082,0.26,4.824634647,5.32366637,4.854947024,80.50262498,84.68821581,73.22868252,2.646,15,86,175.7268296
0.203333333,14.09962107,6.733333333,0.78,6.733333333,1.133333333,-0.733333333,1.6,17.26666667,0.424,1.486,26.93333333,17.672,83.126,90.14533333,152.1146667,381.8,0.212,0.082,0.26,3.563989873,4.832840558,7.086189192,78.38286858,86.23077388,82.32682553,2.646,15,86,175.7268296
0.203333333,14.09962107,6.733333333,0.78,6.733333333,1.133333333,-0.733333333,1.6,17.26666667,0.424,1.486,26.93333333,17.672,83.126,90.14533333,152.1146667,381.8,0.212,0.082,0.26,3.656163884,4.878363235,6.870882927,79.42666008,88.60590783,81.106408,2.646,15,86,175.7268296
0.243333333,14.8994076,7.133333333,1.009333333,7.133333333,1.266666667,-0.866666667,1.666666667,17.13333333,0.435333333,1.494,33.6,17.42933333,88.858,93.73533333,162.0753333,381.8,0.296,0.082,0.344,4.969763179,5.168300526,5.212204403,90.98717291,106.2710243,106.0373635,2.702,15,92,188.7255896
