,exp_gap,electron density,cell volume,lattice constants a_0,lattice constants a_1,lattice constants b_0,lattice constants b_1,lattice constants c_0,lattice constants c_1,atomic radii(empirical)_0,atomic radii(empirical)_1,atomic radii(clementi)_0,atomic radii(clementi)_1,ionic radii(pauling)_0,ionic radii(pauling)_1,ionic radii(shannon)_0,ionic radii(shannon)_1,covalent radii_0,covalent radii_1,metal radii(waber)_0,metal radii(waber)_1,valence electron distance(schubert)_0,valence electron distance(schubert)_1,core electron distance(schubert)_0,core electron distance(schubert)_1,pseudo-potential radii(zunger)_0,pseudo-potential radii(zunger)_1,first ionization energy_0,first ionization energy_1,second ionization energy_0,second ionization energy_1,third ionization energy_0,third ionization energy_1,atomization enthalpy_0,atomization enthalpy_1,vaporization enthalpy_0,vaporization enthalpy_1,fusion enthalpy_0,fusion enthalpy_1,cohesive energy(Brewer)_0,cohesive energy(Brewer)_1,total energy_0,total energy_1,electron number_0,electron number_1,valence electron number_0,valence electron number_1,effective nuclear charge(slater)_0,effective nuclear charge(slater)_1,effective nuclear charge(clementi)_0,effective nuclear charge(clementi)_1,periodic number_0,periodic number_1,group number_0,group number_1,electronegativity(martynov&batsanov)_0,electronegativity(martynov&batsanov)_1,electronegativity(pauling)_0,electronegativity(pauling)_1,electronegativity(alfred-rochow)_0,electronegativity(alfred-rochow)_1,"atomic volume(villars,daams)_0","atomic volume(villars,daams)_1"
55,0.46,3.732511149,25.71994997,3.621,9.054,3.621,9.083,26.25,11.601,1.85,1.15,2.38,1.03,1.01,0.41,0.958,0.5,1.98,1.2,1.802,1.4,2.33,1.77,1.11,1.04,4.14,1.285,5.649,9.785,11.107,21.268,23.764,30.93,2.15,2.362,1.714,0.936,0.088,0.056,2.14,2.25,4.716,3.489,62,34,3,6,2.85,6.95,8.01,8.29,6,4,3,6,1.2,2.54,1.17,2.55,1.07,2.48,3.318,2.727
56,0.35,3.673810349,31.03045317,3.621,4.4572,3.621,4.4572,26.25,5.929,1.85,1.4,2.38,1.23,1.01,0.51,0.958,0.97,1.98,1.38,1.802,1.6,2.33,1.82,1.11,1.24,4.14,1.67,5.649,9.04,11.107,18.668,23.764,28.059,2.15,2.046,1.714,1.088,0.088,0.182,2.14,2.23,4.716,3.142,62,52,3,6,2.85,6.95,8.01,10.81,6,5,3,6,1.2,2.38,1.17,2.1,1.07,2.01,3.318,3.394
57,0.26,3.087782652,33.03341313,5.8318,4.4572,5.8318,4.4572,3.1819,5.929,1.45,1.4,1.45,1.23,0.65,0.51,0.69,0.97,1.39,1.38,1.623,1.6,2.3,1.82,1.41,1.24,1.88,1.67,7.369,9.04,14.685,18.668,30.607,28.059,3.142,2.046,3.08,1.088,0.073,0.182,3.14,2.23,4.009,3.142,50,52,4,6,5.65,6.95,9.1,10.81,5,5,4,6,1.88,2.38,1.96,2.1,1.72,2.01,2.705,3.394
58,5.7,2.607937811,17.63845741,6.0849,5.403,6.0849,3.429,6.0849,5.086,2,0.6,2.19,0.48,1.11,0.1,1.18,0.1,1.95,0.66,2.151,0.89,2.92,1.2,1.39,0.85,3.21,0.465,5.715,13.665,11.066,35.235,43.753,55.12,1.71,2.592,1.606,0.071,0.083,0.002,1.72,2.6,1.686,4.935,38,8,2,6,2.85,4.55,6.07,4.45,5,2,2,6,1.13,3.32,0.95,3.44,0.99,3.5,5.632,1.736
59,4.76,1.937861622,27.86576677,6.0849,10.437,6.0849,12.845,6.0849,24.369,2,1,2.19,0.88,1.11,0.32,1.18,0.37,1.95,1.05,2.151,1.27,2.92,1.44,1.39,1.03,3.21,1.1,5.715,10.396,11.066,23.41,43.753,34.954,1.71,2.9,1.606,0.1,0.083,0.018,1.72,2.85,1.686,4.128,38,16,2,6,2.85,5.45,6.07,5.48,5,3,2,6,1.13,2.65,0.95,2.58,0.99,2.44,5.632,2.552
60,4.42,2.299348214,31.31322154,6.0849,9.054,6.0849,9.083,6.0849,11.601,2,1.15,2.19,1.03,1.11,0.41,1.18,0.5,1.95,1.2,2.151,1.4,2.92,1.77,1.39,1.04,3.21,1.285,5.715,9.785,11.066,21.268,43.753,30.93,1.71,2.362,1.606,0.936,0.083,0.056,1.72,2.25,1.686,3.489,38,34,2,6,2.85,6.95,6.07,8.29,5,4,2,6,1.13,2.54,0.95,2.55,0.99,2.48,5.632,2.727
61,3.77,2.368211713,38.00335903,6.0849,4.4572,6.0849,4.4572,6.0849,5.929,2,1.4,2.19,1.23,1.11,0.51,1.18,0.97,1.95,1.38,2.151,1.6,2.92,1.82,1.39,1.24,3.21,1.67,5.715,9.04,11.066,18.668,43.753,28.059,1.71,2.046,1.606,1.088,0.083,0.182,1.72,2.23,1.686,3.142,38,52,2,6,2.85,6.95,6.07,10.81,5,5,2,6,1.13,2.38,0.95,2.1,0.99,2.01,5.632,3.394
62,3.3,2.976114198,38.97699896,3.4566,6.7265,3.4566,4.6451,5.5248,8.7023,1.9,1.1,1.56,0.94,0.9,0.37,1.45,0.39,1.45,1.2,1.716,1.17,2.29,1.6,1.53,1.01,2.235,1.2,6.129,11.855,20.498,21.871,29.921,36.119,1.895,1.164,1.727,0.317,0.044,0.06,1.88,1.22,2.367,1.629,81,35,3,7,5,7.6,12.25,9.03,6,4,3,7,1.69,2.83,1.62,2.96,1.44,2.74,2.841,3.277
63,3.75,2.813399401,34.8333052,3.4566,6.2235,3.4566,4.4561,5.5248,8.1785,1.9,1,1.56,0.79,0.9,0.28,1.45,0.27,1.45,1.02,1.716,0.91,2.29,1.41,1.53,1,2.235,1.01,6.129,13.011,20.498,23.889,29.921,39.749,1.895,1.266,1.727,0.212,0.044,0.033,1.88,1.4,2.367,1.8,81,17,3,7,5,6.1,12.25,6.12,6,3,3,7,1.69,2.98,1.62,3.16,1.44,2.83,2.841,2.886
64,2.7778,2.947447254,45.46306972,3.4566,7.1802,3.4566,4.7102,5.5248,9.8103,1.9,1.4,1.56,1.15,0.9,0.46,1.45,0.95,1.45,1.39,1.716,1.39,2.29,1.69,1.53,1.17,2.235,1.585,6.129,10.487,20.498,19.198,29.921,33.114,1.895,1.111,1.727,0.433,0.044,0.081,1.88,1.11,2.367,1.519,81,53,3,7,5,7.6,12.25,11.61,6,5,3,7,1.69,2.76,1.62,2.66,1.44,2.21,2.841,4.263
