Ti2CO2-TM,dGH,dM0-O0,dM1-O0,dM2-O0,dmM-O,ATi1-O-Ti2,ATi1-O-M,ATi2O-M,AmM-O-M,bO-O,epz,Med,Ti1ed,Ti2ed,Mmed,EFermi,CHO,CHM,CHTi1,CHTi2,CHMm,VM,VMm,BO,BM,BTi1,BTi2,BMm,FEIM,FEITi1,FEITi2,FEIMm,EAM,EAMm,PM,PMm,RM,RMm
Pd-S2,0.099247,1.953,1.953,1.978,1.961333333,102.692,99.958,99.958,100.8693333,3.016,-2.976081543,0.6551,0.4993,0.6545,0.602966667,-2.4008,7.10179,10.035124,10.033979,10.066419,10.045174,12,12,1.10179,-1.964876,-1.966021,-1.933581,-1.954826,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Pt-S0,0.03984849,2.168,1.932,1.932,2.010666667,100.79,94.193,94.193,96.392,3.176,-2.903555669,-3.678,0.489,0.4881,-0.9003,-2.4125,7.001123,9.260574,10.043476,10.04069,9.78158,10,11.33333333,1.001123,-0.739426,-1.956524,-1.95931,-1.551753333,870,375.7,375.7,540.4666667,205.3,73.5,2.28,1.786666667,177,176.3333333
Pt-S1,0.12602008,1.97,1.961,1.97,1.967,100.332,100.951,100.947,100.7433333,3.02,-2.968001606,0.4886,0.5592,0.4871,0.511633333,-2.4125,7.110927,10.04044,10.041393,10.043476,10.04176967,12,12,1.110927,-1.95956,-1.958607,-1.956524,-1.958230333,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Pt-S2,0.20184017,1.952,1.952,1.98,1.961333333,102.187,99.834,99.832,100.6176667,3.018,-3.050662258,0.487,0.4486,0.4896,0.475066667,-2.4125,7.101191,10.043476,10.04376,10.065807,10.05101433,12,12,1.101191,-1.956524,-1.95624,-1.934193,-1.948985667,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Re-S0,-0.1312155,2.144,1.956,1.956,2.018666667,98.961,95.187,95.188,96.44533333,2.989,-3.244000513,-2.4929,0.1944,0.1981,-0.700133333,-2.2678,7.054249,5.501142,10.061375,10.055384,8.539300333,7,10.33333333,1.054249,-1.498858,-1.938625,-1.944616,-1.794033,760,375.7,375.7,503.8,14.5,9.9,1.9,1.66,188,180
Re-S1,-0.04230939,1.969,1.966,1.969,1.968,101.156,100.347,100.349,100.6173333,3.026,-3.079997519,0.1877,0.2824,0.1845,0.2182,-2.2678,7.111176,10.056516,10.046662,10.061375,10.054851,12,12,1.111176,-1.943484,-1.953338,-1.938625,-1.945149,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Re-S2,0.01529681,1.945,1.945,1.998,1.962666667,101.057,98.584,98.583,99.408,3.015,-3.206219411,0.1945,0.2861,0.1972,0.225933333,-2.2678,7.094763,10.061375,10.061263,10.079718,10.067452,12,12,1.094763,-1.938625,-1.938737,-1.920282,-1.932548,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Rh-S0,-0.64333312,2.167,1.916,1.916,1.999666667,101.456,94.485,94.483,96.808,3.116,-2.545976066,-2.227,0.7782,0.7763,-0.224166667,-2.7248,7.011308,14.201315,10.03702,10.035191,11.42450867,15,13,1.011308,-0.798685,-1.96298,-1.964809,-1.575491333,719.7,375.7,375.7,490.3666667,109.7,41.63333333,2.28,1.786666667,173,175
Rh-S1,-0.50381069,1.961,1.971,1.961,1.964333333,100.268,100.819,100.2,100.429,3.011,-2.663504059,0.7716,0.9039,0.7758,0.8171,-2.7248,7.109794,10.039406,10.065167,10.03702,10.04719767,12,12,1.109794,-1.960594,-1.934833,-1.96298,-1.952802333,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Rh-S2,-0.45946523,1.954,1.954,1.979,1.962333333,102.556,99.795,99.797,100.716,3.017,-2.654496052,0.7726,0.8514,0.7819,0.801966667,-2.7248,7.100715,10.03702,10.034524,10.062552,10.04469867,12,12,1.100715,-1.96298,-1.965476,-1.937448,-1.955301333,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
